snake_number,can_number,Date,Time,Location,location_notes,latitude,longitude,Open,CH4,CO,CO2,OCS,DMS,CS2,CHCl3,CH2Cl2,C2HCl3,C2Cl4,CH3Cl,CH3Br,CH3I,CH2Br2,CHBrCl2,CHBr2Cl,CHBr3,EtCl,"1,2-DCE",MeONO2,EtONO2,i-PrONO2,n-PrONO2,2-BuONO2,3-PenONO2,2-PenONO2,3-Methyl-2-BuONO2,Ethane,Ethene,Ethyne,Propane,Propene,i-Butane,n-Butane,1-Butene,i-Butene,trans-2-Butene,cis-2-Butene,i-Pentane,n-Pentane,"1,3-Butadiene",1-Pentene,Isoprene,trans-2-Pentene,cis-2-Pentene,3-Methyl-1-butene,2-Methyl-1-Butene,2-Methyl-2-butene,"1,2-Propadiene",n-Hexane,n-Heptane,n-Octane,n-Nonane,n-Decane,"2,2-Dimethylbutane","2,3-Dimethylbutane",2-Methylpentane,3-Methylpentane,2-Methylhexane,3-Methylhexane,"2,4-Dimethylpentane","2,3-Dimethylpentane","2,2,4-Trimethylpentane","2,3,4-Trimethylpentane",Cyclopentane,Methylcyclopentane,Cyclohexane,Methylcyclohexane,Benzene,Toluene,Ethylbenzene,m_p-Xylene,o-Xylene,Styrene,iso-Propylbenzene,n-Propylbenzene,3-Ethyltoluene,4-Ethyltoluene,2-ethyltoluene,"1,3,5-Trimethylbenzene","1,2,4-Trimethylbenzene","1,2,3-Trimethylbenzene",alpha-Pinene,beta-Pinene,Limonene,Methanol,Ethanol,Isopropanol,Acetaldehyde,Acetone,MAC,MVK,Butanal,Butanone,Open1,Ethanol1
3723,2023,2/26/2025,12:42,Chino Dairy SD Farm,Milk Barn Outflow,34.01169,-117.6479,1.0,3.115,279.0,486.0,610.0,189.0,0.25,40.8,110.6,4.87,10.36,544.0,7.53,0.54,1.22,3.26,3.32,2.08,1.8,32.2,12.95,3.88,10.89,1.66,16.3,2.31,3.5,3.65,4435.0,851.0,701.0,4143.0,146.0,640.0,1449.0,25.0,31.0,-888.0,4.0,1030.0,804.0,5.0,9.0,132.0,8.0,-888.0,3.0,21.0,6.0,10.0,104.0,51.0,22.0,18.0,20.0,36.0,46.0,139.0,90.0,43.0,45.0,42.0,51.0,93.0,26.0,41.0,80.0,43.0,28.0,136.0,373.0,41.0,113.0,49.0,17.0,3,8.0,14.0,11.0,7.0,-888.0,17.0,7.0,14.0,-888.0,64.0,10202.0,5441.0,917.0,2732.0,4257.0,55.0,217.0,58.0,432.0,1.0,5440.673865
3722,2020,2/26/2025,14:21,Chino Dairy SD Farm,Silage Storage,34.00862,-117.646,2.0,2.512,288.0,467.0,602.0,65.0,0.31,35.3,114.8,5.62,10.76,559.0,7.65,0.62,1.22,2.4,3.04,2.37,1.6,26.9,12.55,4.12,13.2,1.78,22.19,2.59,3.96,4.75,4645.0,723.0,711.0,3309.0,100.0,789.0,1928.0,15.0,43.0,-888.0,5.0,945.0,383.0,-888.0,8.0,91.0,-888.0,-888.0,-888.0,11.0,6.0,8.0,116.0,51.0,21.0,17.0,15.0,39.0,48.0,161.0,109.0,42.0,46.0,48.0,55.0,98.0,28.0,46.0,93.0,49.0,29.0,150.0,312.0,40.0,94.0,43.0,25.0,5,10.0,13.0,15.0,6.0,4.0,13.0,5.0,5.0,-888.0,87.0,6357.0,3732.0,571.0,3313.0,3727.0,57.0,242.0,55.0,487.0,2.0,3731.928852
3721,2019,2/26/2025,15:11,Chino Dairy SD Farm,Background (H2S 7),34.01203,-117.64688,3.0,2.159,272.0,464.0,589.0,3.0,0.14,33.9,117.7,5.87,9.15,564.0,7.24,0.54,1.28,2.01,2.69,2.33,1.7,27.3,12.33,4.2,12.18,1.78,20.25,2.34,3.48,4.29,3938.0,726.0,688.0,2621.0,142.0,721.0,2105.0,25.0,46.0,6.0,8.0,1010.0,374.0,8.0,9.0,279.0,10.0,-888.0,5.0,17.0,13.0,10.0,110.0,53.0,23.0,22.0,25.0,42.0,59.0,174.0,109.0,45.0,52.0,56.0,62.0,104.0,32.0,89.0,96.0,47.0,32.0,148.0,318.0,55.0,142.0,58.0,63.0,10,22.0,25.0,26.0,18.0,15.0,30.0,23.0,12.0,4.0,120.0,2777.0,2830.0,387.0,2917.0,3132.0,59.0,230.0,63.0,380.0,3.0,2830.345135
3720,2018,2/26/2025,15:29,Chino Dairy SD Farm,Bon View Ave,34.00801,-117.63699,4.0,2.992,280.0,473.0,662.0,297.0,0.65,30.5,107.2,5.64,8.89,541.0,7.37,0.51,1.31,1.89,2.52,2.18,1.8,27.6,11.66,3.8,11.71,1.6,19.55,2.31,3.52,4.23,3882.0,689.0,625.0,2615.0,133.0,678.0,1980.0,25.0,40.0,4.0,6.0,944.0,367.0,6.0,12.0,130.0,12.0,4.0,3.0,22.0,10.0,7.0,129.0,49.0,24.0,12.0,6.0,46.0,63.0,190.0,124.0,45.0,51.0,49.0,57.0,97.0,29.0,56.0,97.0,51.0,29.0,137.0,294.0,39.0,102.0,39.0,34.0,-888,7.0,12.0,9.0,5.0,-888.0,14.0,-888.0,6.0,-888.0,220.0,7040.0,16263.0,427.0,3843.0,3429.0,69.0,251.0,66.0,546.0,4.0,16263.13587
3719,2017,2/26/2025,15:34,Chino Dairy SD Farm,Bon View Ave,34.00074,-117.63682,5.0,2.266,266.0,462.0,590.0,17.0,0.14,29.4,102.3,4.91,8.63,547.0,7.25,0.54,1.29,1.86,2.58,2.39,1.8,27.4,11.8,3.91,11.45,1.58,19.49,2.25,3.39,4.02,3828.0,577.0,616.0,2550.0,97.0,659.0,1952.0,15.0,30.0,-888.0,4.0,911.0,347.0,4.0,9.0,173.0,5.0,-888.0,3.0,11.0,9.0,5.0,104.0,48.0,20.0,13.0,12.0,41.0,62.0,194.0,110.0,39.0,42.0,40.0,47.0,85.0,24.0,56.0,79.0,44.0,23.0,137.0,259.0,36.0,88.0,36.0,42.0,-888,6.0,11.0,7.0,3.0,-888.0,11.0,-888.0,8.0,-888.0,354.0,3564.0,4999.0,493.0,2691.0,3128.0,85.0,235.0,56.0,456.0,5.0,4999.103427
3718,2022,2/26/2025,15:44,Chino Dairy SD Farm,,34.00873,-117.61957,6.0,3.069,268.0,469.0,635.0,425.0,0.45,31.7,103.4,5.8,8.24,554.0,7.27,0.55,1.25,1.87,2.46,2.31,1.4,26.7,11.73,3.69,11.88,1.57,19.99,2.31,3.46,4.16,3900.0,614.0,638.0,2760.0,96.0,691.0,2015.0,15.0,31.0,-888.0,4.0,970.0,362.0,-888.0,7.0,126.0,8.0,-888.0,3.0,15.0,6.0,9.0,122.0,50.0,18.0,14.0,10.0,46.0,57.0,171.0,109.0,42.0,44.0,45.0,51.0,95.0,27.0,39.0,94.0,46.0,25.0,133.0,292.0,36.0,86.0,36.0,52.0,-888,5.0,10.0,11.0,4.0,-888.0,11.0,-888.0,112.0,11.0,739.0,9349.0,7229.0,524.0,3079.0,3535.0,70.0,239.0,41.0,511.0,6.0,7229.121158
3717,2025,2/26/2025,15:53,Chino Dairy SD Farm,,33.99619,-117.61945,7.0,3.514,258.0,477.0,644.0,214.0,0.5,29.5,100.2,5.19,7.68,548.0,7.16,0.63,1.19,1.7,2.16,2.11,1.9,27.6,11.42,3.59,11.35,1.42,18.08,2.14,3.14,3.75,3647.0,571.0,584.0,2421.0,85.0,626.0,1734.0,14.0,26.0,-888.0,4.0,810.0,355.0,-888.0,5.0,119.0,-888.0,-888.0,-888.0,31.0,-888.0,7.0,119.0,43.0,19.0,12.0,11.0,38.0,49.0,156.0,96.0,37.0,40.0,37.0,43.0,84.0,22.0,37.0,85.0,35.0,24.0,126.0,236.0,29.0,70.0,29.0,25.0,-888,5.0,8.0,8.0,-888.0,-888.0,10.0,6.0,58.0,44.0,3393.0,14351.0,52117.0,1414.0,3931.0,3224.0,69.0,300.0,54.0,558.0,7.0,52116.53388
3709,9135,2/26/2025,16:17,Chino Dairy SD Farm,,34.00508,-117.60698,8.0,2.922,246.0,459.0,665.0,297.0,0.81,34.2,94.7,4.75,6.63,574.0,7.31,0.93,1.28,1.55,2.05,2.21,1.3,27.1,10.74,3.5,10.83,1.42,17.96,2.09,3.07,3.78,3504.0,547.0,569.0,2264.0,103.0,627.0,1855.0,14.0,28.0,-888.0,4.0,878.0,319.0,5.0,5.0,141.0,-888.0,-888.0,-888.0,13.0,-888.0,-888.0,109.0,43.0,19.0,12.0,8.0,35.0,49.0,153.0,94.0,34.0,38.0,43.0,51.0,81.0,22.0,36.0,82.0,35.0,23.0,122.0,351.0,33.0,79.0,32.0,43.0,-888,4.0,8.0,3.0,-888.0,-888.0,11.0,-888.0,62.0,4.0,35.0,10038.0,7025.0,577.0,1263.0,3126.0,59.0,190.0,40.0,501.0,8.0,7024.66561
3710,9129,2/26/2025,16:35,Chino Dairy SD Farm,Nursery / Redwood Products & Vortmann Eggs?,34.00217,-117.62824,9.0,2.298,276.0,461.0,620.0,224.0,0.21,24.3,86.1,3.73,4.8,572.0,7.08,0.54,1.14,1.14,1.43,1.76,1.5,26.2,9.73,2.87,8.86,1.13,13.11,1.56,2.15,2.54,3238.0,1304.0,684.0,7775.0,336.0,574.0,1393.0,21.0,45.0,-888.0,6.0,681.0,259.0,5.0,6.0,269.0,4.0,-888.0,4.0,12.0,5.0,5.0,75.0,39.0,20.0,24.0,19.0,26.0,35.0,110.0,67.0,28.0,29.0,28.0,40.0,61.0,16.0,21.0,63.0,30.0,32.0,107.0,189.0,28.0,78.0,25.0,-888.0,-888,-888.0,16.0,30.0,6.0,5.0,17.0,-888.0,813.0,141.0,231.0,15741.0,18900.0,466.0,1728.0,2427.0,48.0,154.0,31.0,482.0,9.0,18900.1764
3711,9431,2/26/2025,16:37,Chino Dairy SD Farm,Vortmann Eggs (High NH3 571ppb),33.99973,-117.62822,10.0,2.251,199.0,491.0,602.0,57.0,0.15,25.1,92.2,3.16,4.62,580.0,8.33,0.51,1.21,1.04,1.33,1.67,1.4,27.1,9.86,2.76,8.01,1.08,12.2,1.38,1.95,2.26,2768.0,402.0,425.0,3259.0,67.0,541.0,1899.0,12.0,25.0,10.0,12.0,792.0,273.0,6.0,8.0,128.0,12.0,5.0,5.0,18.0,14.0,4.0,122.0,34.0,18.0,16.0,15.0,26.0,32.0,102.0,72.0,26.0,25.0,28.0,32.0,52.0,15.0,27.0,72.0,24.0,16.0,96.0,202.0,27.0,84.0,36.0,-888.0,-888,4.0,8.0,7.0,3.0,-888.0,10.0,4.0,32.0,5.0,59.0,8966.0,24206.0,532.0,1263.0,3424.0,37.0,127.0,53.0,701.0,10.0,24205.60864
3712,9131,2/26/2025,16:38,Chino Dairy SD Farm,Vortmann Eggs (High NH3 602ppb),33.99973,-117.62822,11.0,2.246,207.0,481.0,608.0,83.0,0.15,22.8,89.1,3.07,4.34,577.0,7.18,0.54,1.43,0.99,1.27,1.45,1.6,25.9,9.6,2.7,8.24,1.01,12.05,1.39,1.95,2.25,2746.0,400.0,413.0,3467.0,71.0,561.0,2068.0,16.0,39.0,13.0,11.0,813.0,273.0,4.0,10.0,109.0,13.0,5.0,3.0,19.0,14.0,-888.0,107.0,30.0,16.0,12.0,12.0,26.0,26.0,92.0,63.0,22.0,23.0,23.0,27.0,47.0,13.0,29.0,64.0,23.0,13.0,91.0,157.0,19.0,53.0,19.0,4.0,-888,4.0,5.0,-888.0,-888.0,-888.0,9.0,-888.0,25.0,-888.0,48.0,7427.0,16409.0,291.0,1779.0,2321.0,60.0,167.0,50.0,484.0,11.0,16409.34419
3713,9143 T,2/26/2025,16:44,Chino Dairy SD Farm,Grove / Edison - Downwind Dairy,33.99121,-117.62803,12.0,3.182,213.0,470.0,674.0,349.0,0.35,24.2,90.3,3.74,4.9,578.0,8.46,0.64,1.24,1.17,1.51,1.74,1.3,27.7,10.39,3.4,8.95,1.38,13.78,1.61,2.34,2.74,3040.0,432.0,463.0,1677.0,81.0,472.0,1267.0,12.0,31.0,-888.0,-888.0,571.0,234.0,-888.0,7.0,161.0,5.0,-888.0,4.0,47.0,6.0,4.0,84.0,35.0,25.0,25.0,27.0,28.0,30.0,105.0,68.0,29.0,33.0,31.0,39.0,62.0,24.0,27.0,60.0,35.0,20.0,114.0,196.0,41.0,103.0,42.0,27.0,14,27.0,21.0,35.0,32.0,17.0,31.0,9.0,93.0,17.0,9757.0,23239.0,93650.0,329.0,3219.0,2149.0,53.0,173.0,38.0,447.0,12.0,93650.49887
3714,9133,2/27/2025,8:59,Chino Dairy SD Farm, Milking Pit with Milk - Challange Dairy Products,33.9953,-117.63652,13.0,3.02,177.0,494.0,610.0,49.0,0.15,32.5,79.5,1.66,4.79,547.0,7.06,0.65,1.47,1.92,1.95,1.74,1.5,28.1,10.9,2.97,4.95,0.79,5.47,0.71,0.98,0.83,15268.0,1042.0,357.0,1480.0,105.0,214.0,426.0,15.0,38.0,4.0,4.0,328.0,109.0,3.0,5.0,79.0,7.0,-888.0,-888.0,14.0,5.0,-888.0,38.0,24.0,20.0,18.0,22.0,13.0,18.0,51.0,33.0,19.0,20.0,18.0,22.0,35.0,16.0,4.0,33.0,17.0,23.0,75.0,280.0,21.0,68.0,27.0,16.0,5,9.0,12.0,14.0,7.0,8.0,16.0,7.0,28.0,4.0,1307.0,8395.0,20826.0,345.0,1608.0,1360.0,22.0,81.0,50.0,316.0,13.0,20826.3882
3715,9298,2/27/2025,10:05,Chino Dairy SD Farm,By the Lagoons,33.99435,-117.63351,14.0,2.439,134.0,439.0,586.0,16.0,0.15,19.6,78.1,0.95,3.06,554.0,7.09,0.67,1.08,0.83,0.89,1.38,1.5,25.3,8.77,2.24,4.04,0.67,4.75,0.52,0.73,0.62,2029.0,284.0,371.0,1036.0,70.0,173.0,410.0,8.0,26.0,-888.0,-888.0,320.0,101.0,4.0,7.0,129.0,5.0,-888.0,-888.0,9.0,5.0,4.0,31.0,19.0,7.0,6.0,7.0,13.0,17.0,47.0,31.0,12.0,14.0,15.0,18.0,30.0,9.0,6.0,28.0,15.0,9.0,70.0,156.0,14.0,49.0,16.0,13.0,3,4.0,7.0,6.0,-888.0,3.0,8.0,-888.0,12.0,-888.0,386.0,4381.0,8974.0,158.0,1552.0,1176.0,16.0,45.0,33.0,165.0,14.0,8973.837197
3716,9142 T,2/27/2025,11:02,Chino Dairy SD Farm,By the Feedlot Trough,33.99576,-117.63569,15.0,4.205,120.0,468.0,593.0,282.0,0.15,16.5,66.6,0.97,4.48,539.0,7.03,0.64,1.16,0.49,0.75,1.22,1.0,23.6,7.41,1.77,4.15,0.55,4.7,0.55,0.73,0.55,1658.0,246.0,248.0,587.0,65.0,76.0,172.0,17.0,15.0,-888.0,-888.0,71.0,71.0,11.0,10.0,44.0,4.0,-888.0,14.0,163.0,4.0,4.0,34.0,18.0,24.0,20.0,12.0,4.0,5.0,19.0,17.0,7.0,6.0,3.0,6.0,4.0,3.0,-888.0,20.0,3.0,-888.0,54.0,43.0,6.0,28.0,9.0,4.0,-888,-888.0,-888.0,-888.0,-888.0,-888.0,3.0,-888.0,184.0,571.0,9226.0,23374.0,105081.0,333.0,2406.0,1540.0,12.0,54.0,27.0,214.0,15.0,105081.1636
3708,7289,2/27/2025,12:58,Chino Dairy SD Farm,"13506 S Bon View Ave (Milking Barn, El Dorado?)",34.00787,-117.63775,16.0,2.159,119.0,435.0,589.0,22.0,0.1,33.8,75.5,1.29,2.65,558.0,7.03,0.45,1.12,0.52,0.64,1.22,1.1,22.8,7.38,1.59,3.67,0.49,4.06,0.45,0.61,0.45,1714.0,104.0,228.0,561.0,32.0,72.0,240.0,-888.0,-888.0,-888.0,-888.0,139.0,59.0,4.0,-888.0,233.0,-888.0,-888.0,-888.0,-888.0,-888.0,-888.0,17.0,12.0,6.0,5.0,4.0,5.0,7.0,24.0,14.0,7.0,8.0,6.0,9.0,10.0,3.0,3.0,21.0,9.0,6.0,47.0,60.0,8.0,24.0,8.0,-888.0,-888,-888.0,3.0,-888.0,-888.0,-888.0,4.0,-888.0,175.0,8.0,14.0,4032.0,1953.0,83.0,630.0,1367.0,14.0,44.0,19.0,180.0,16.0,1952.984284
3707,7180,2/27/2025,13:47,Chino Dairy SD Farm,"Dairy ""C"" (NH3 1872ppb)",34.0084,-117.64084,17.0,3.723,124.0,461.0,699.0,266.0,0.55,16.0,73.1,1.26,2.27,580.0,7.13,0.4,1.13,0.5,0.65,1.22,1.3,22.1,7.07,1.61,3.64,0.52,4.26,0.47,0.65,0.48,1618.0,217.0,244.0,748.0,51.0,100.0,315.0,8.0,21.0,-888.0,-888.0,158.0,65.0,-888.0,3.0,90.0,5.0,-888.0,-888.0,18.0,-888.0,-888.0,21.0,17.0,13.0,6.0,-888.0,6.0,9.0,25.0,14.0,8.0,9.0,8.0,11.0,12.0,4.0,3.0,16.0,8.0,8.0,49.0,67.0,7.0,24.0,8.0,5.0,-888,-888.0,-888.0,-888.0,-888.0,-888.0,3.0,-888.0,185.0,11.0,22.0,8448.0,3449.0,69.0,1051.0,1563.0,14.0,44.0,19.0,274.0,17.0,3449.448856
3706,7235,2/27/2025,15:14,Chino Dairy SD Farm,SD Farm Milk Sun Pit,34.01166,-117.6479,18.0,2.795,138.0,448.0,633.0,33.0,0.15,24.1,79.7,1.01,3.54,609.0,7.16,0.49,1.12,1.01,1.3,1.43,1.7,25.8,7.96,1.8,4.11,0.57,4.3,0.47,0.64,0.52,2112.0,216.0,267.0,743.0,63.0,173.0,771.0,11.0,27.0,6.0,7.0,586.0,199.0,-888.0,9.0,131.0,17.0,3.0,3.0,20.0,16.0,-888.0,59.0,28.0,11.0,8.0,9.0,20.0,42.0,98.0,60.0,23.0,26.0,36.0,51.0,64.0,19.0,17.0,58.0,24.0,17.0,68.0,119.0,16.0,52.0,16.0,5.0,-888,-888.0,6.0,3.0,-888.0,4.0,9.0,5.0,51.0,-888.0,16.0,36371.0,16271.0,216.0,1555.0,1634.0,19.0,84.0,50.0,262.0,18.0,16270.50755
3705,7048,2/27/2025,15:40,Chino Dairy SD Farm,Background SD Farm,34.01193,-117.64789,19.0,2.167,139.0,439.0,637.0,29.0,0.13,20.9,78.4,0.7,2.69,607.0,7.16,0.43,1.12,0.67,0.86,1.37,1.2,27.3,8.4,2.06,3.89,0.66,4.34,0.49,0.65,0.49,1788.0,165.0,239.0,720.0,41.0,100.0,304.0,8.0,17.0,-888.0,-888.0,208.0,91.0,-888.0,-888.0,96.0,-888.0,-888.0,-888.0,4.0,-888.0,-888.0,33.0,23.0,13.0,16.0,23.0,9.0,13.0,40.0,26.0,12.0,14.0,11.0,16.0,18.0,7.0,5.0,25.0,16.0,11.0,74.0,95.0,22.0,62.0,21.0,14.0,8,16.0,13.0,14.0,5.0,13.0,25.0,26.0,23.0,5.0,16.0,4682.0,38460.0,65.0,1537.0,1545.0,16.0,46.0,26.0,128.0,19.0,38460.26259
,,,,,,34.004,-117.63569,10.0,2.795,210.734,465.516,610.0,88.56162064,0.207137074,27.6,90.3,3.73,4.8,559.0,7.18,0.54,1.22,1.174,1.51,1.744,1.5,26.9,10.39,2.97,8.856,1.13,13.11,1.56,2.152,2.54,3237.813,532.161,462.742,2354.533,84.799,541.0,1393.0,14.942,29.808,-888.0,4.0,681.0,265.522,4.0,7.0,129.0,5.0,-888.0,3.0,18.0,6.0,4.0,84.0,34.966,19.0,14.0,12.0,26.079,35.0,104.634,68.0,28.0,29.38,30.552,39.514,61.0,19.0,27.11,63.0,30.0,22.64,101.715,201.864,27.55,73.6,29.0,17.0,,5.0,10.088,9.0,4.0,3.244,11.0,5.0,51.0,5.0,216.1580775,8448.0,16263.136,386.606,1778.551,2426.951,53.0,154.0,43.691,432.0,10.0,16263.13587
Min,,,,,,33.991,-117.648,1.0,2.159,118.976,434.53,586.177,3.487,0.098,16.0,66.6,0.704,2.268,539.0,7.03,0.396,1.085,0.488,0.638,1.217,1.0,22.1,7.074,1.593,3.645,0.494,4.06,0.451,0.61,0.454,1618.485,103.617,228.274,561.294,32.377,71.702,172.41,0.0,0.0,0.678,1.437,70.818,58.721,3.468,1.807,44.098,1.742,0.544,0.0,2.177,1.197,3.977,17.264,12.487,5.557,4.726,2.296,4.142,5.124,18.872,13.993,6.636,6.473,3.247,6.371,4.374,3.048,0.0,16.065,3.377,1.871,46.552,43.18,6.185,23.836,8.402,0.882,#DIV/0!,0.518,2.262,0.87,0.587,3.244,3.06,4.071,5.339,1.178,13.941,2776.694,1952.984,65.382,629.974,1176.422,11.573,44.468,18.753,128.078,1.0,1952.984284
Max,,,,,,34.012,-117.607,19.0,4.205,288.199,493.882,698.761,425.122,0.807,40.8,117.7,5.875,10.764,609.0,8.46,0.932,1.474,3.257,3.318,2.385,1.9,32.2,12.955,4.202,13.204,1.781,22.191,2.586,3.961,4.75,15268.412,1303.949,711.223,7774.699,336.122,788.975,2104.865,25.251,46.319,12.693,12.495,1029.529,803.601,10.635,11.662,278.734,17.136,5.141,14.118,162.638,16.347,10.452,128.684,52.768,24.992,24.922,26.883,45.919,62.951,193.804,123.62,44.995,51.64,56.067,61.551,104.375,31.518,88.737,97.223,50.503,31.802,149.897,372.949,54.61,142.255,57.561,63.045,#DIV/0!,26.808,24.673,35.088,32.204,16.852,31.196,26.161,813.094,571.001,9757.12,36371.433,105081.164,1414.0,3930.863,4256.559,84.891,299.672,66.45,701.467,19.0,105081.1636
Median,,,,,,34.005,-117.637,10.0,2.795,213.448,467.497,610.124,83.034,0.152,29.4,90.3,3.733,4.8,559.0,7.18,0.544,1.215,1.174,1.505,1.744,1.5,27.1,10.391,2.969,8.856,1.127,13.113,1.564,2.154,2.543,3237.813,547.252,462.742,2421.494,84.799,560.852,1449.387,14.942,29.808,1.78,3.712,792.284,272.725,4.797,7.129,129.305,5.304,1.687,3.055,16.916,5.583,6.059,103.583,34.645,18.99,13.505,12.352,26.079,34.739,104.634,68.491,28.043,29.38,30.552,39.514,62.365,19.231,27.11,64.151,30.164,22.64,107.478,201.864,27.55,77.857,29.137,15.676,#DIV/0!,4.561,10.088,8.006,3.426,6.143,10.538,6.801,31.603,4.177,120.381,8447.71,16263.136,386.606,1778.551,2426.951,53.384,166.856,50.039,446.999,10.0,16263.13587
Average,,,,,,34.004,-117.634,10.0,2.791,210.734,465.516,623.507,153.549,0.288,27.6,91.6,3.38,5.92,565.0,7.34,0.57,1.225,1.411,1.756,1.8,1.5,26.6,10.139,2.971,8.211,1.14,12.465,1.471,2.152,2.441,3671.544,532.161,477.536,2354.533,99.246,446.627,1278.049,14.596,29.573,3.206,4.739,640.163,265.522,5.375,6.885,140.039,6.665,2.053,3.287,24.645,6.743,6.529,80.636,34.966,17.81,14.499,13.675,26.236,35.022,107.925,68.68,27.263,29.722,29.917,36.222,59.535,17.885,28.665,61.354,29.134,19.423,101.715,210.433,27.172,73.6,28.89,20.722,#DIV/0!,7.158,10.312,10.884,5.714,8.512,13.227,10.15,99.963,44.088,1373.508,10985.987,23569.249,431.384,2215.595,2529.669,43.933,153.883,43.691,396.07,10.0,23569.24885
Stdev,,,,,,0.006870942,0.011203161,5.627314339,0.593117419,64.61719541,16.85300677,33.00122524,135.9851453,0.207137074,6.8,15.1,1.95419758,2.757764685,21.0,0.4,0.117323482,0.104762929,0.735529001,0.845885616,0.430718947,0.2,2.2,1.877951399,0.902945032,3.521248278,0.469274396,6.788790772,0.813331211,1.257526605,1.620273078,2974.70562,313.7211346,179.6839882,1716.754758,65.47884658,259.723612,749.0924034,6.469515967,11.46854703,3.230761533,3.09099915,333.2692648,176.4135924,2.101993193,2.760031476,61.46494137,4.319627596,1.351530306,3.002392412,34.85054475,4.506076997,2.277143286,40.01389502,13.44573425,5.525021094,5.831153797,7.366772328,14.46480631,19.46470487,59.87680439,37.09823414,13.59124141,15.11387317,16.07675928,18.00518581,33.38541856,9.231345216,23.32919698,28.85748022,15.0490353,9.17363787,35.15370356,102.4190531,13.43852357,31.21596724,14.06736831,18.55273124,#DIV/0!,7.182319861,5.939689934,9.976697813,7.551330289,5.634296096,8.05708594,8.293251608,183.2573333,131.5719038,2968.948273,8522.035649,29723.58068,318.1538845,982.8598837,972.5929802,23.8628975,85.66975305,14.6695778,156.6956426,5.627314339,29723.58068
%rsd,,,,,,0.020206488,-0.009523712,56.27314339,21.24840212,30.66292307,3.620285232,5.292839794,88.56162064,71.89405665,24.7,16.4,57.82421634,46.58508014,4.0,5.52,20.5725258,8.553219385,52.14112449,48.16861353,23.93135652,16.3,8.2,18.52199783,30.38702241,42.88466398,41.16222874,54.46360377,55.27625265,58.43035366,66.38791875,81.02055572,58.95230986,37.62735321,72.91274749,65.97607505,58.15223293,58.6121715,44.32525114,38.78110635,100.7570394,65.22752413,52.06002713,66.44024338,39.10410542,40.08855127,43.89139757,64.80945919,65.83712736,91.34352108,141.4104376,66.82279279,34.87899851,49.6227181,38.45413887,31.02276785,40.21862779,53.86997654,55.13238531,55.57860012,55.4802512,54.01611232,49.85254908,50.8503805,53.73787442,49.70811659,56.07657039,51.61396081,81.38578049,47.03429715,51.65492529,47.23099903,34.56112231,48.67064397,49.45788394,42.41306822,48.69236841,89.5322643,#DIV/0!,100.3450052,57.59997922,91.66546965,132.1529693,66.19156693,60.91230879,81.70530101,183.3244211,298.4294321,216.1580775,77.57187094,126.1117012,73.75192133,44.36098853,38.447444,54.31610595,55.67203895,33.57583617,39.56258945,56.27314339,126.1117012
