,count,unique,top,freq,mean,std,min,25%,50%,75%,max
snake_number,25,25,3723,1,,,,,,,
can_number,19,19,2023,1,,,,,,,
Date,19,2,2/26/2025,12,,,,,,,
Time,19,19,12:42,1,,,,,,,
Location,19,1,Chino Dairy SD Farm,19,,,,,,,
location_notes,16,15,Bon View Ave,2,,,,,,,
latitude,26.0,,,,31.38893374730769,9.236668734361185,0.006870942,33.995867499999996,34.004,34.008565000000004,34.01203
longitude,26.0,,,,-108.58513117503846,31.96684641653396,-117.648,-117.6400675,-117.63569,-117.62807749999999,0.011203161
Open,26.0,,,,11.611556066499999,10.629768091993576,1.0,5.720485754249999,10.0,14.75,56.27314339
CH4,26.0,,,,3.446943059192307,3.704330525964319,0.593117419,2.25475,2.795,3.1035000000000004,21.24840212
CO,26.0,,,,197.70658148,74.52061025344493,30.66292307,135.0,210.734,267.5,288.199
CO2,26.0,,,,430.4390112308461,124.82232436920083,3.620285232,450.75,465.516,472.25,494.0
OCS,26.0,,,,577.4947332705384,167.68058194793537,5.292839794,590.75,610.0,636.5,699.0
DMS,26.0,,,,149.81924563769232,133.0186648863086,3.0,37.0,88.56162064,255.5,425.122
CS2,26.0,,,,3.043974261461538,14.04429810594009,0.098,0.15,0.207137074,0.425,71.89405665
CHCl3,26.0,,,,26.846153846153847,7.950508450117175,6.8,23.125,27.6,32.3,40.8
CH2Cl2,26.0,,,,85.67307692307692,25.277793538080935,15.1,78.175,90.3,101.775,117.7
C2HCl3,26.0,,,,5.438092843076922,10.841281871621575,0.7,1.3825,3.73,5.12,57.82421634
C2Cl4,26.0,,,,7.322109416346153,8.458581994115765,2.268,3.74,4.8,8.5325,46.58508014
CH3Cl,26.0,,,,522.6153846153846,151.54988008522525,4.0,547.0,559.0,576.25,609.0
CH3Br,26.0,,,,7.023076923076924,1.4591141675160837,0.4,7.0825,7.18,7.3325,8.46
CH3I,26.0,,,,1.326609587769231,3.9285022114475225,0.117323482,0.51,0.54,0.6375,20.5725258
CH2Br2,26.0,,,,1.4668070120769232,1.4658198394291657,0.104762929,1.1324999999999998,1.22,1.28,8.553219385
CHBrCl2,26.0,,,,3.3538712881153847,9.979890909112436,0.488,0.87,1.174,1.885,52.14112449
CHBr2Cl,26.0,,,,3.505442274846154,9.147757357469889,0.638,0.985,1.51,2.505,48.16861353
CHBr3,26.0,,,,2.5935413641153846,4.378787287397444,0.430718947,1.3924999999999998,1.744,2.2025,23.93135652
EtCl,26.0,,,,2.0115384615384615,2.9360281910195516,0.2,1.3,1.5,1.7,16.3
"1,2-DCE",26.0,,,,25.000000000000004,6.340410081374864,2.2,25.425,26.9,27.375,32.2
MeONO2,26.0,,,,10.153805739576923,2.9623488123300663,1.877951399,8.4925,10.39,11.7125,18.52199783
EtONO2,26.0,,,,3.940575670846154,5.475556021510055,0.902945032,2.105,2.97,3.7725,30.38702241
i-PrONO2,26.0,,,,9.42991970223077,7.6302062954006855,3.521248278,4.12,8.856,11.424999999999999,42.88466398
n-PrONO2,26.0,,,,2.652442428307692,7.867784942612924,0.469274396,0.6625000000000001,1.13,1.5775000000000001,41.16222874
2-BuONO2,26.0,,,,13.962361328538464,10.456484323473596,4.06,4.93,13.11,19.1375,54.46360377
3-PenONO2,26.0,,,,3.5254455331153847,10.582887748255436,0.45,0.5900000000000001,1.56,2.295,55.27625265
2-PenONO2,26.0,,,,4.292956933269231,11.104992187284862,0.61,0.7925,2.152,3.4425,58.43035366
3-Methyl-2-BuONO2,26.0,,,,4.8883150703076925,12.634536409243298,0.45,0.6725,2.54,3.9599999999999995,66.38791875
Ethane,26.0,,,,3840.2997375276923,3526.95694341462,81.02055572,2049.75,3237.813,3868.5,15268.412
Ethene,26.0,,,,519.3005170946154,335.7713811715009,58.95230986,255.5,532.161,670.25,1304.0
Ethyne,26.0,,,,447.3395515926923,195.67030859648798,37.62735321,252.75,462.742,622.75,711.223
Propane,26.0,,,,2384.316173288077,1910.4102719764946,72.91274749,820.0,2354.533,2725.25,7775.0
Propene,26.0,,,,102.03068929346153,74.90562052590697,32.0,65.6031536975,84.799,102.25,336.122
i-Butane,26.0,,,,431.30891711269226,258.7005586219764,58.15223293,173.0,541.0,636.75,789.0
n-Butane,26.0,,,,1211.092906726923,740.3206296502502,58.6121715,414.0,1393.0,1920.75,2105.0
1-Butene,26.0,,,,-18.902855111269233,177.46115059417065,-888.0,11.25,14.942,16.75,44.32525114
i-Butene,26.0,,,,-5.509321023846153,180.32974014587506,-888.0,25.25,29.808,38.5858297625,46.319
trans-2-Butene,26.0,,,,-471.7944307333462,458.8240111821386,-888.0,-888.0,-888.0,4.0,100.7570394
cis-2-Butene,26.0,,,,-198.24224910461538,385.4612763252573,-888.0,1.8504997875,4.0,6.0,65.22752413
i-Pentane,26.0,,,,606.312434305,341.115489865874,52.06002713,322.0,681.0,902.75,1030.0
n-Pentane,26.0,,,,267.4594167607692,193.98541648222786,58.721,103.0,265.522,353.0,804.0
"1,3-Butadiene",26.0,,,,-233.9045731302692,404.9416994534641,-888.0,-665.47450170175,4.0,5.28125,39.10410542
1-Pentene,26.0,,,,-60.37186220207692,243.74481719095198,-888.0,5.0,7.0,9.0,40.08855127
Isoprene,26.0,,,,134.09739765153847,66.69406607022238,43.89139757,92.25,129.0,140.75975,279.0
trans-2-Pentene,26.0,,,,-162.30861204669233,361.30551796098837,-888.0,4.0,5.0,9.5,64.80945919
cis-2-Pentene,26.0,,,,-542.8610131666924,445.3762036994175,-888.0,-888.0,-888.0,1.9615,65.83712736
3-Methyl-1-butene,26.0,,,,-266.7766956349231,422.6984821283555,-888.0,-888.0,3.0,3.8217499999999998,91.34352108
2-Methyl-1-Butene,26.0,,,,-0.8601160634615425,186.63811218450397,-888.0,12.25,18.0,23.98375,163.0
2-Methyl-2-butene,26.0,,,,-162.06927423896155,361.43559285500487,-888.0,4.12651924925,6.0,9.75,66.82279279
"1,2-Propadiene",26.0,,,,-233.49334070015385,405.1819090798272,-888.0,-665.4307141785,4.0,7.0,34.87899851
n-Hexane,26.0,,,,78.37706204307692,39.049550914801095,17.0,38.503473755,84.0,109.75,129.0
n-Heptane,26.0,,,,34.181995119999996,13.549590910102888,12.0,23.25,34.966,46.75,53.0
n-Octane,26.0,,,,17.765261113230768,6.580326536612406,5.525021094,13.75,19.0,21.75,31.02276785
n-Nonane,26.0,,,,15.142376214884617,7.8943196506200355,4.726,12.0,14.0,18.0,40.21862779
n-Decane,26.0,,,,-19.32912504353846,177.47955336796235,-888.0,8.25,12.0,19.75,53.86997654
"2,2-Dimethylbutane",26.0,,,,26.809699677692304,14.975069305411163,4.0,13.3662015775,26.079,38.75,55.13238531
"2,3-Dimethylbutane",26.0,,,,35.187665576538464,19.197719533414393,5.0,18.366176217499998,35.0,49.0,63.0
2-Methylpentane,26.0,,,,103.70100213807692,58.07975287781315,18.872,52.1200628,104.634,155.25,194.0
3-Methylpentane,26.0,,,,66.91916717153846,35.72961739970527,13.993,34.024558535,68.0,95.5,124.0
2-Methylhexane,26.0,,,,27.63003040346154,13.85840243222468,6.636,14.9434310575,28.0,41.25,49.85254908
3-Methylhexane,26.0,,,,29.90612514115385,15.233858903477369,6.0,16.3354048775,29.38,43.5,52.0
"2,4-Dimethylpentane",26.0,,,,30.274985911538465,16.507216677061695,3.0,16.55756946,30.552,42.75,56.067
"2,3-Dimethylpentane",26.0,,,,36.110973169230775,17.78862841820711,6.0,19.0038893575,39.514,51.0,62.0
"2,2,4-Trimethylpentane",26.0,,,,58.196576498076915,32.18531991552765,4.0,33.78906392,61.0,84.75,104.375
"2,3,4-Trimethylpentane",26.0,,,,18.866434847153847,11.230487859578954,3.0,10.173508911999999,19.0,25.5,51.61396081
Cyclopentane,26.0,,,,-2.6793470203846166,182.31742504542473,-888.0,8.75,27.11,40.5,89.0
Methylcyclopentane,26.0,,,,59.372491437307694,27.899554202703403,16.0,29.893110165,63.0,81.5,97.223
Cyclohexane,26.0,,,,29.380075407307693,15.445917461594679,3.0,16.25,30.0,43.75,51.65492529
Methylcyclohexane,26.0,,,,-14.04689858076923,178.53447661692044,-888.0,11.5,22.64,27.25,47.23099903
Benzene,26.0,,,,96.57968561038462,37.82661962623257,34.56112231,68.5,101.715,131.25,150.0
Toluene,26.0,,,,199.2453729642308,105.48032511616832,43.0,106.564289825,201.864,289.0,373.0
Ethylbenzene,26.0,,,,27.84474644269231,14.387393916426257,6.0,16.75,27.55,38.25,55.0
m_p-Xylene,26.0,,,,71.68373213307693,33.10110787926487,23.836,49.75,73.6,87.5,142.255
o-Xylene,26.0,,,,29.41345141230769,14.849064028356183,8.0,16.75,29.0,38.25,58.0
Styrene,26.0,,,,-78.83038478692309,298.7825195481915,-888.0,5.0,17.0,32.25,89.5322643
iso-Propylbenzene,25,7,-888,12,,,,,,,
n-Propylbenzene,26.0,,,,-159.90106442073076,362.81083623206314,-888.0,4.0,5.0,8.75,100.3450052
3-Ethyltoluene,26.0,,,,-56.270666571,245.08893880407538,-888.0,6.25,10.088,13.0,57.59997922
4-Ethyltoluene,26.0,,,,-122.59653202065384,333.307841114525,-888.0,3.75,9.0,14.0,91.66546965
2-ethyltoluene,26.0,,,,-262.3986423235,426.0701362225389,-888.0,-888.0,4.0,6.75,132.1529693
"1,3,5-Trimethylbenzene",26.0,,,,-368.8145821913077,453.5634993882764,-888.0,-888.0,3.244,7.53575,66.19156693
"1,2,4-Trimethylbenzene",26.0,,,,14.99963056653846,12.366197701030577,3.0,9.0,11.0,16.75,60.91230879
"1,2,3-Trimethylbenzene",26.0,,,,-332.53147874546147,448.08655360435176,-888.0,-888.0,5.0,7.969938706000001,81.70530101
alpha-Pinene,26.0,,,,125.59925978461538,212.22886484127005,5.0,16.25,51.0,159.25,813.094
beta-Pinene,26.0,,,,-166.7521024653846,472.4318856715243,-888.0,-665.7055,5.0,37.25,571.001
Limonene,26.0,,,,1567.7005549230769,3076.401641894202,13.941,50.75,216.1580775,1165.0,9757.12
Methanol,26.0,,,,10937.055058459231,9288.53390908037,77.57187094,5100.75,8448.0,10789.990249999999,36371.433
Ethanol,26.0,,,,24645.936976200002,30775.51447233883,126.1117012,5109.5,16263.136,24046.81225,105081.164
Isopropanol,26.0,,,,433.5724540703846,350.270164520491,65.0,234.75,386.606,516.25,1414.0
Acetaldehyde,26.0,,,,2056.067495085769,1073.2970881150684,44.36098853,1331.5,1778.551,2870.75,3931.0
Acetone,26.0,,,,2380.445862469231,1093.9536920399066,38.447444,1541.25,2426.951,3201.0,4257.0
MAC,26.0,,,,44.57538474807692,23.363189282502358,11.573,19.75,53.0,59.0,85.0
MVK,26.0,,,,149.35464584615386,84.7792968618913,44.0,62.0040292125,154.0,226.75,300.0
Butanal,26.0,,,,42.302669768076925,15.337674754882151,14.6695778,31.5,43.691,53.75,66.45
Butanone,26.0,,,,377.8797012326923,177.33182639011952,39.56258945,226.0,432.0,486.25,701.467
Open1,26.0,,,,11.611556066499999,10.629768091993576,1.0,5.720485754249999,10.0,14.75,56.27314339
Ethanol1,26.0,,,,24645.96496266154,30775.555494616696,126.1117012,5109.4960365,16263.13587,24046.518692499998,105081.1636
